Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0011229,0.0156,0.038331,0,0,0,0.0040904,4.9053E-07,6.0147E-10,2.3857E-10,1.1169E-06,-1.2816E-07,1.0652E-06,0,0,0,0,0,0,package://NUBIV4/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://NUBIV4/meshes/base_link.STL,,DSR-0101-2;DSR-0101-1;DRB-0011-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RPelvis,0.007807,0.042111,0.034485,0,0,0,0.086268,0.0014953,4.4207E-05,-6.2784E-07,0.00029184,5.9389E-06,0.0012571,0,0,0,0,0,0,package://NUBIV4/meshes/RPelvis.STL,0.28627,0.66275,0.32941,1,0,0,0,0,0,0,package://NUBIV4/meshes/RPelvis.STL,,DRB-0010-1,Origin_RHip_yaw2,Axis2,RHip_yaw,revolute,-0.036449,-0.034878,-0.021648,-1.5708,0,-1.5708,base_link,0,1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RHip,-0.00451761476637914,0.00584714342826777,0.00680018700790237,0,0,0,1.70246844377124E-07,4.81320151753972E-15,-5.2724123999253E-19,1.53704432844156E-17,5.58786310270594E-15,-4.59919752371307E-21,5.58755848883629E-15,0,0,0,0,0,0,package://NUBIV4/meshes/RHip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RHip.STL,,L-two motor-1/DSR-0101-5;L-two motor-1/DSR-0101-4,Origin_RHip_roll2,Axis3,RHip_roll,revolute,0,0.027574,0,-1.571,-0.0089705,-1.5503,RPelvis,0.020518,0,0.99979,1.2,6.3,-2.79,2.79,,,,,,,,
RFemur,-0.00183904205907645,0.0648853474629884,0.00822618813618843,0,0,0,0.00409019740627706,4.9052660253765E-07,-6.01449797473191E-10,2.38569635610515E-10,1.11685778701071E-06,1.28159298171889E-07,1.06519177168035E-06,0,0,0,0,0,0,package://NUBIV4/meshes/RFemur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RFemur.STL,,DRB-0008-1;DRB-0011-2,Origin_RHip_pitch2,Axis4,RHip_pitch,revolute,0,0,0,0.020519,0,1.5708,RHip,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
RTibia,-0.0173130779741609,-0.00105513938424677,0.0160961049827325,0,0,0,0.00392507494301407,3.57287629143056E-07,9.92188943827006E-10,1.02285991871695E-11,4.51665003932787E-07,-5.45733481889898E-09,7.95962407014054E-07,0,0,0,0,0,0,package://NUBIV4/meshes/RTibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RTibia.STL,,DSR-0101-4;DRB-0005-5;DRJ-0001-1;DRJ-0001-2;DRB-0008-2,Origin_RKnee_pitch2,Axis5,RKnee_pitch,revolute,0,0.077764,-1.9824E-05,1.5887,1.5708,0,RFemur,0,-0.99984,-0.017944,1.2,6.3,-2.79,2.79,,,,,,,,
RAnkle,-0.00449028466436133,0.0119293253361759,0.00720707713936298,0,0,0,1.70246844377129E-07,4.81291429076785E-15,-5.27172003746948E-19,-3.70836153132245E-18,5.58786310270829E-15,4.60010199804965E-21,5.58784571563678E-15,0,0,0,0,0,0,package://NUBIV4/meshes/RAnkle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RAnkle.STL,,two motor-1/DSR-0101-3;two motor-1/DSR-0101-2,Origin_RAnkle_pitch2,Axis6,RAnkle_pitch,revolute,-0.01173,-0.0013874,0.077438,-1.2754,-1.552,-1.8665,RTibia,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RFoot,-0.00435902671287343,0.0135169491657929,-0.0286669430773389,0,0,0,0.0107696045379167,7.29965318243794E-06,-5.1820771440685E-12,4.9650184023105E-13,2.38035548946643E-06,1.2693294854091E-09,9.66215869492412E-06,0,0,0,0,0,0,package://NUBIV4/meshes/RFoot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RFoot.STL,,DRB-0003-1;DRB-0010-3,Origin_RAnkle_roll2,Axis7,RAnkle_roll,revolute,0,0,0,1.5763,4.9037E-05,-1.5798,RAnkle,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LPelvis,0.00818363217680887,-0.0421111591303299,0.0360880670320481,0,0,0,0.0862681975072362,0.00149525639847843,-4.41422236988219E-05,-1.85534809455636E-06,0.000291844636294533,6.39935439485888E-06,0.00125706639903616,0,0,0,0,0,0,package://NUBIV4/meshes/LPelvis.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBIV4/meshes/LPelvis.STL,,DRB-0010-2,Origin_LHip_yaw2,Axis8,LHip_yaw,revolute,0.034208,-0.034878,-0.021648,1.5708,0,-1.5812,base_link,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LHip,-0.00455469275155299,0.00757125437183945,-0.00440684812499183,0,0,0,1.70246844377133E-07,4.81291443653173E-15,-5.27113784228387E-19,-3.70842020117524E-18,5.58786313708632E-15,4.59117589418392E-21,5.58784576416702E-15,0,0,0,0,0,0,package://NUBIV4/meshes/LHip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LHip.STL,,two motor-2/DSR-0101-3;two motor-2/DSR-0101-2,Origin_LHip_roll2,Axis9,LHip_roll,revolute,0,-0.027574,0,-1.5707,-0.0087265,1.5653,LPelvis,0.0054654,0,-0.99999,1.2,6.3,-2.79,2.79,,,,,,,,
LFemur,-2.38765980619879E-06,0.0751214614518778,0.00345398772154254,0,0,0,0.00409019781377434,4.90526680071979E-07,6.0116223855972E-10,2.38559697605889E-10,1.11685786555513E-06,-1.28159281679745E-07,1.06519190103583E-06,0,0,0,0,0,0,package://NUBIV4/meshes/LFemur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LFemur.STL,,DRB-0008-3;DRB-0011-3,Origin_LHip_pitch2,Axis10,LHip_pitch,revolute,0.010435,-0.003043,-0.011557,-0.00542,0,1.5708,LHip,1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
LTibia,-0.0173120228873035,0.00260477147371434,0.0161131420556066,0,0,0,0.00392507523860521,3.57287232737218E-07,-9.73235865878929E-10,7.57556321216367E-12,4.51580439615843E-07,-7.147252028704E-10,7.96047369466914E-07,0,0,0,0,0,0,package://NUBIV4/meshes/LTibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LTibia.STL,,DSR-0101-5;DRJ-0001-9;DRJ-0001-8;DRB-0005-3;DRB-0008-4,Origin_LKnee_pitch2,Axis11,LKnee_pitch,revolute,0,0.088,0.0117,-2.794,-1.5708,1.2232,LFemur,0,1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LAnkle,-0.00449343292030352,0.00928857917825272,-0.00488294292516624,0,0,0,1.70246844377126E-07,4.81320163952594E-15,-5.27299733767046E-19,1.53704160000801E-17,5.58786308251843E-15,-4.61641554304117E-21,5.5875584336926E-15,0,0,0,0,0,0,package://NUBIV4/meshes/LAnkle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LAnkle.STL,,L-two motor-2/DSR-0101-5;L-two motor-2/DSR-0101-4,Origin_LAnkle_pitch2,Axis12,LAnkle_pitch,revolute,-0.013028,0,0.07745,-3.1416,-1.559,3.1416,LTibia,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LFoot,-0.0135837238910629,0.028811856690581,0.00344363344977459,0,0,0,0.0107696045359165,2.38035548898604E-06,1.2693297127951E-09,5.18295195337904E-12,9.66215869303042E-06,-4.96827122301971E-13,7.29965318111973E-06,0,0,0,0,0,0,package://NUBIV4/meshes/LFoot.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBIV4/meshes/LFoot.STL,,DRB-0010-4;DRB-0003-2,Origin_LAnkle_roll2,Axis13,LAnkle_roll,revolute,0,0,0,-1.5796,-1.5503,0,LAnkle,1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
