Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0011229,0.0156,0.038331,0,0,0,0.0040904,4.9053E-07,6.0147E-10,2.3857E-10,1.1169E-06,-1.2816E-07,1.0652E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/base_link.STL,0,0,1,1,0,0,0,0,0,0,package://NUBI_V5/meshes/base_link.STL,,DSR-0101-2;DSR-0101-1;DRB-0011-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RPelvis,0.0076938,0.041742,0.034251,0,0,0,0.086268,0.0015039,4.4225E-05,-2.9539E-08,0.00029481,1.8438E-06,0.0012629,0,0,0,0,0,0,package://NUBI_V5/meshes/RPelvis.STL,0.28627,0.66275,0.32941,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RPelvis.STL,,DRB-0010-1,Origin_RHip_yaw,Axis2,RHip_yaw,revolute,-0.036449,-0.034878,-0.022298,-1.5708,0,-1.5708,base_link,0,1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RHip,-0.00450427830376229,0.00584714342826846,0.00745005017716618,0,0,0,1.70246844377123E-07,4.81320151753959E-15,-5.27241240000675E-19,1.53704432844179E-17,5.58786310270582E-15,-4.5991975236666E-21,5.5875584888361E-15,0,0,0,0,0,0,package://NUBI_V5/meshes/RHip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RHip.STL,,L-two motor-1/DSR-0101-5;L-two motor-1/DSR-0101-4,Origin_RHip_roll,Axis3,RHip_roll,revolute,0,0.027574,0,-1.571,-0.0089705,-1.5503,RPelvis,0.020518,0,0.99979,1.2,6.3,-2.79,2.79,,,,,,,,
RFemur,-0.00248904205907609,0.0648853474629882,0.00887618813618866,0,0,0,0.00409019740627706,4.90526602537679E-07,-6.01449797498643E-10,2.38569635624737E-10,1.11685778701072E-06,1.28159298171905E-07,1.06519177168038E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/RFemur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RFemur.STL,,DRB-0008-1;DRB-0011-2,Origin_RHip_pitch,Axis4,RHip_pitch,revolute,0,0,0,0.020519,0,1.5708,RHip,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
RTibia,0.00871509944245952,-0.00979516740040502,0.0159392505253211,0,0,0,0.00392507494301409,3.57287629143059E-07,9.92188943827109E-10,1.02285991870098E-11,4.51665003932787E-07,-5.45733481889898E-09,7.95962407014057E-07,0,0,0,0,0,0,package://NUBI_V5/meshes/RTibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RTibia.STL,,DSR-0101-4;DRB-0005-5;DRJ-0001-1;DRJ-0001-2;DRB-0008-2,Origin_RKnee_pitch,Axis5,RKnee_pitch,revolute,-0.0087414,0.077764,0.026658,1.5887,1.5708,0,RFemur,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
RAnkle,0.0215378927522575,0.0175142902407125,0.00720707713936015,0,0,0,1.70246844377122E-07,4.8129142907676E-15,-5.27172003753672E-19,-3.70836153130451E-18,5.58786310270802E-15,4.60010199820305E-21,5.58784571563649E-15,0,0,0,0,0,0,package://NUBI_V5/meshes/RAnkle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RAnkle.STL,,two motor-1/DSR-0101-3;two motor-1/DSR-0101-2,Origin_RAnkle_pitch,Axis6,RAnkle_pitch,revolute,0.014442,-0.0040764,0.051357,-1.2754,-1.552,-1.8665,RTibia,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
RFoot,1.56219181479678E-08,0.000353547935824886,0.00142183210359545,0,0,0,0.0107696045379167,7.29965318243796E-06,-5.18207713634465E-12,4.96501840070334E-13,2.38035548946643E-06,1.26932948540951E-09,9.66215869492414E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/RFoot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RFoot.STL,,DRB-0003-1;DRB-0010-3,Origin_RAnkle_roll,Axis7,RAnkle_roll,revolute,0.056079,0.0096739,0.013978,1.5763,4.9037E-05,-1.5798,RAnkle,0,0,1,1.2,6.3,-2.79,2.79,,,,,,,,
LPelvis,0.00807292305899078,-0.0417417576597471,0.036323213066093,0,0,0,0.0862681975072364,0.00150386121057705,-4.42036643729134E-05,-2.48200542603523E-06,0.000294808184566198,2.30471092360166E-06,0.0012629633906355,0,0,0,0,0,0,package://NUBI_V5/meshes/LPelvis.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LPelvis.STL,,DRB-0010-2,Origin_LHip_yaw,Axis8,LHip_yaw,revolute,0.034208,-0.034878,-0.022298,1.5708,0,-1.5812,base_link,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LHip,-0.00455114022489965,0.00757125437183906,-0.00505683841688416,0,0,0,1.70246844377125E-07,4.81291443653154E-15,-5.2711378418219E-19,-3.70842020114713E-18,5.58786313708593E-15,4.59117589444893E-21,5.58784576416686E-15,0,0,0,0,0,0,package://NUBI_V5/meshes/LHip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LHip.STL,,two motor-2/DSR-0101-3;two motor-2/DSR-0101-2,Origin_LHip_roll,Axis9,LHip_roll,revolute,0,-0.027574,0,-1.5707,-0.0087265,1.5653,LPelvis,0.0054654,0,-0.99999,1.2,6.3,-2.79,2.79,,,,,,,,
LFemur,-0.00369542296088183,0.0646483483712184,-0.00881005071793201,0,0,0,0.00409019769600968,4.90526791176842E-07,6.01145206877695E-10,2.3854985222139E-10,1.11685781855624E-06,-1.28159299522275E-07,1.06519196107565E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/LFemur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LFemur.STL,,DRB-0008-3;DRB-0011-3,Origin_LHip_pitch,Axis10,LHip_pitch,revolute,0,0,0,0.0027699,0,1.5708,LHip,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
