Removed Pin From Net: NetName=+7.4V Pin=C2-1
Removed Pin From Net: NetName=GND Pin=C2-2
Removed Pin From Net: NetName=5V_REG Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C3-2
Removed Pin From Net: NetName=GND Pin=DS3-2
Removed Pin From Net: NetName=5V_REG Pin=R?-1
Removed Pin From Net: NetName=+7.4V Pin=U?-1
Removed Pin From Net: NetName=5V_REG Pin=U?-3
Removed Pin From Net: NetName=GND Pin=U?-4
Removed Member From Class: ClassName=Sheet Member=C2
Removed Member From Class: ClassName=Sheet Member=C3
Removed Member From Class: ClassName=Sheet Member=DS3
Removed Member From Class: ClassName=Sheet Member=R?
Removed Member From Class: ClassName=Sheet Member=U?
Change Footprint: Footprint Not Found Header F 2.54X20
Add Pin To Net: Unknown Pin: Pin *-1
Add Pin To Net: Unknown Pin: Pin *-2
Add Pin To Net: Unknown Pin: Pin *-3
Add Pin To Net: Unknown Pin: Pin *-4
Add Pin To Net: Unknown Pin: Pin P5-8
Add Pin To Net: Unknown Pin: Pin P5-9
Add Pin To Net: Unknown Pin: Pin P5-10
Add Pin To Net: Unknown Pin: Pin P5-11
Add Pin To Net: Unknown Pin: Pin P5-12
Add Pin To Net: Unknown Pin: Pin P5-13
Add Pin To Net: Unknown Pin: Pin P5-14
Add Pin To Net: Unknown Pin: Pin P5-15
Add Pin To Net: Unknown Pin: Pin P5-16
Add Pin To Net: Unknown Pin: Pin P5-17
