Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_lin,0.00360572903498757,0.00118309605607281,0.00217711576246571,0,0,0,0.00436456608198958,1.03700098227038E-06,-1.2808652170486E-07,-1.24574759195156E-07,5.23421759609031E-07,3.00902000693848E-08,1.11895824239189E-06,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/base_lin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/base_lin.STL,,waist-1/DRB-0011-2;waist-1/DSR-0101-2;waist-1/DSR-0101-1;waist-1/DRJ-0001-4;waist-1/DRJ-0001-3,c_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_W_1,0.0135310577359082,-0.0355253365427388,-0.052761768139199,0,0,0,0.152073564561278,0.00220129498898566,-2.43000627132473E-06,-5.02051972199334E-06,0.00129797606901867,4.95365662374062E-06,0.000970481901105194,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_W_1.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_W_1.STL,,waist-1/DRB-0010-5,c_R_W_1,x_R_W_1,LHip_yaw,revolute,0.00811191095429442,0.0343859376847431,-0.0358999999999563,-0.0295865830615605,-0.00698131700551125,-0.231656625322495,base_lin,-0.00698126029799116,0.0295815458381401,-0.99953799034878,1.2,6.3,-2.79,2.79,,,,,,,,
R_W_2,0.0348267429071289,-0.000161718132895672,-0.013079020937468,0,0,0,0.00053474319201658,3.81196631534239E-09,4.8199716472387E-12,1.12935089535727E-11,4.21629884233603E-09,-2.45179082569498E-11,5.38948960510623E-09,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_W_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_W_2.STL,,L-leg-1/two motor-1/DSR-0101-2;L-leg-1/two motor-1/DRJ-0003-2;L-leg-1/two motor-1/DSR-0101-3;L-leg-1/two motor-1/DRJ-0003-4;L-leg-1/two motor-1/DRJ-0003-3;L-leg-1/two motor-1/DRJ-0003-5,c_R_W_2,x_R_W_2,LHip_roll,revolute,-0.0350660356311487,0.00115022718562807,-0.0240322725212692,0,0,0,R_W_1,0.999896590427051,-0.0123609060710088,-0.00734958865932969,1.2,6.3,-2.79,2.79,,,,,,,,
R_W_3,-0.00366906536477185,0.0206923269048276,-0.064013310924508,0,0,0,0.00409019778385964,1.06330826557753E-06,-3.67250983349582E-09,-1.27947501575626E-07,4.91110344706927E-07,-1.75096861655991E-08,1.11815791917397E-06,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_W_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_W_3.STL,,L-leg-1/L-f5da-1/DRB-0008-2;L-leg-1/L-f5da-1/DRB-0011-1,c_R_W_3,x_R_W_3,LHip_pitch,revolute,0.0462337025626653,-0.0223530513381598,-0.00111240331126483,0,0,0,R_W_2,-0.0125726074067991,-0.999485937943567,-0.0294921921203482,1.2,6.3,-2.79,2.79,,,,,,,,
R_N_1,0.0180911931167852,0.0174794377607834,-0.0155248520163054,0,0,0,0.00406217575232337,3.58680966433164E-07,-1.36796623061842E-09,3.00792440067483E-09,4.52712722842304E-07,-9.83119522170605E-09,7.96923604729599E-07,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_N_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_N_1.STL,,L-leg-1/DSR-0101-2;L-leg-1/L-asba-1/DRB-0008-1;L-leg-1/L-asba-1/ankle plate-2/DRB-0005-2;L-leg-1/L-asba-1/ankle plate-2/DRJ-0001-12;L-leg-1/L-asba-1/ankle plate-2/DRJ-0001-11;L-leg-1/DRJ-0001-1,c_R_N_1,x_R_N_1,LKnee_pitch,revolute,-0.0122338652690933,0.00291198983896201,-0.0773641940455132,0,0,0,R_W_3,0.012572607406823,0.999485937943566,0.0294921921203551,1.2,6.3,-2.79,2.79,,,,,,,,
R_A_1,0.00906436446976777,0.0212998378074056,0.00109078883632363,0,0,0,0.00272881286947315,1.64229681803521E-07,2.4326999108096E-10,-1.3340308998563E-10,8.86535064342371E-08,-1.26998727090048E-10,9.18493082595308E-08,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_A_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_A_1.STL,,L-leg-1/L-two motor-4/DSR-0101-4;L-leg-1/L-two motor-4/DSR-0101-5;L-leg-1/L-two motor-4/DRJ-0001-1;L-leg-1/L-two motor-4/DRJ-0001-5;L-leg-1/L-two motor-4/DRJ-0001-4;L-leg-1/L-two motor-4/DRJ-0001-2;L-leg-1/unvirsal plate-1/DRJ-0001-11;L-leg-1/unvirsal plate-1/DRB-0004-2;L-leg-1/unvirsal plate-1/DRJ-0001-7;L-leg-1/DRJ-0001-2;L-leg-1/unvirsal plate-1/DRJ-0001-14,c_R_A_1,x_R_A_1,LAnkle_pitch,revolute,0.0116386736214952,0.00109273068918236,-0.0774847266386327,0,0,0,R_N_1,0.00321902611343638,-0.999556505100927,-0.0296045770329757,1.2,6.3,-2.79,2.79,,,,,,,,
R_A_2,0.0430494211015171,0.00106475615608614,-0.0292398518791859,0,0,0,0.0107696045303586,2.38077899159162E-06,-7.53555463459518E-10,5.55369185912146E-08,7.30172054483324E-06,-6.9852711783785E-08,9.65966781504387E-06,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_A_2.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/R_A_2.STL,,L-leg-1/ankle-2/DRB-0010-2;L-leg-1/ankle-2/DRB-0003-2,c_R_A_2,x_R_A_2,LAnkle_roll,revolute,-0.0466491161038564,0.0211292222358059,0.000725339778560485,0,0,0,R_A_1,0.999964392032425,0.00344846027439361,-0.00770212885881819,1.2,6.3,-2.79,2.79,,,,,,,,
L_W_1,0.0198755299031583,0.0300308834006024,-0.0518252471094609,0,0,0,0.152073564561278,0.00216862030111371,-0.000168715022494926,2.27879942313857E-06,0.00133058381521921,-7.6047271917558E-06,0.000970548842776614,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/L_W_1.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/L_W_1.STL,,waist-1/DRB-0010-3,c_L_W_1,x_L_W_1,RHip_yaw,revolute,-0.00811115881539393,-0.034382750486029,-0.0359000000000256,0.00685752129495438,-0.00130889866810499,-0.0430575611663204,base_lin,-0.00130889829658463,-0.00685746167291572,-0.999975630705396,1.2,6.3,-2.79,2.79,,,,,,,,
L_W_2,0.0349529105405521,0.000637258724828671,0.00110937814476841,0,0,0,0.000548582459427165,4.2009379147889E-09,4.5835594675733E-12,9.19876249753698E-12,3.94859601140859E-09,-5.84836288599058E-11,5.46020489769509E-09,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/L_W_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/L_W_2.STL,,R-leg-1/L-two motor-1/DSR-0101-4;R-leg-1/L-two motor-1/DRJ-0001-2;R-leg-1/L-two motor-1/DRJ-0001-4;R-leg-1/L-two motor-1/DSR-0101-5;R-leg-1/L-two motor-1/DRJ-0001-1;R-leg-1/L-two motor-1/DRJ-0001-5,c_L_W_2,x_L_W_2,RHip_roll,revolute,-0.0344340076210223,0.00570690748207037,-0.0242946563290467,-0.0365680701988691,-0.00698114687545119,-0.188554812891601,L_W_1,0.999785460209647,0.019699590675994,-0.00639997504543661,1.2,6.3,-2.79,2.79,,,,,,,,
L_W_3,-0.00368840681064642,-0.0172743724623736,-0.0653797701648462,0,0,0,0.00416880860873003,1.06373644976686E-06,1.47090858434795E-08,-1.27369159994478E-07,4.92510709050603E-07,-2.17234809212734E-08,1.11844723976545E-06,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/L_W_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Final-Robot - Copy_z3/meshes/L_W_3.STL,,R-leg-1/R-f5da-1/DRB-0008-2;R-leg-1/R-f5da-1/DRB-0011-1;R-leg-1/[DRJ-0011] Bushing Set_male-3,c_L_W_3,x_L_W_3,RHip_pitch,revolute,0.0461667822915901,0.0215038971400305,4.99520127628106E-05,0,0,0,L_W_2,-0.0195011681197361,0.999368229569572,0.0297127273898547,1.2,6.3,-2.79,2.79,,,,,,,,
